File_name,Assemblage,Platf_type,Dist_term,Flaking_axis,Flake_scars,
PointME78.259.17_LR,NK1_M,Faceted-chapeau,Feather,Dejete L,Bidirectional,
PointME78.259b_LR,NK1_M,Lineal,Feather,Centred,Bidirectional,
PointME78.359.2_LR,NK1_M,Plain/removed,Feather,Centred,Bidirectional,
PointME78.359.12_LR,NK1_M,Faceted-chapeau,Feather,Centred,Bidirectional,
PointME78.359.13_LR,NK1_M,Faceted,Feather,Centred,Bidirectional,
PointME78.369.8_LR,NK1_U,Faceted-chapeau,Feather,Centred,Bidirectional,
PointME78.389.2_LR,NK1_U,Faceted,Feather,Centred,Centripetal,
PointME78.389.23_LR,NK1_U,Faceted,Feather,Dejete L,Centripetal,
PointME78.389.24_LR,NK1_U,Faceted,Feather,Centred,Centripetal,
PointME78.389.25_LR,NK1_U,Faceted,Feather,Centred,Bidirectional,
PointME78.389.26_LR,NK1_U,Faceted,Feather,Dejete L,Bidirectional,
PointME78.389g_LR,NK1_U,Faceted,Feather,Dejete L,Bidirectional,
PointME78.479.3_LR,NK1_U,Faceted-chapeau,Feather,Centred,Centripetal,
PointME78.488.2_LR,NK1_U,Faceted,Feather,Centred,Centripetal,
PointME78.488.9_LR,NK1_U,Faceted,Feather,Centred,Centripetal,
PointME78.488.11_LR,NK1_U,Faceted-chapeau,Feather,Centred,Bidirectional,
PointME78.488.17_LR,NK1_U,Plain/removed,Feather,Dejete R,Indeterminate,
PointME78.488.33_LR,NK1_U,Faceted,Feather,Centred,Centripetal,
PointME78.488.43_LR,NK1_U,Faceted,Feather,Dejete L,Bidirectional,
PointME78.488d_LR,NK1_U,Faceted-chapeau,Feather,Centred,Centripetal,
PointME78.488e_LR,NK1_U,Faceted-chapeau,Feather,Dejete L,Bidirectional,
PointME78.488f_LR,NK1_U,Lineal,Feather,Centred,Indeterminate,
PointME78.508.6_LR,NK1_U,Plain/removed,Feather,Dejete R,Bidirectional,
PointME78.519.1_LR,NK1_M,Faceted,Feather,Centred,Bidirectional,
PointME78.519.2_LR,NK1_M,Faceted,Feather,Centred,Centripetal,
PointME78.528.5_LR,NK1_U,Faceted,Feather,Dejete R,Crossed L,
PointME78.528.32_LR,NK1_U,Faceted,Feather,Centred,Bidirectional,
PointME78.528.33_LR,NK1_U,Faceted,Feather,Centred,Bidirectional,
PointME78.528.49_LR,NK1_U,Faceted,Feather,Debordant L,Centripetal,
PointME78.528.54_LR,NK1_U,Faceted,Feather,Centred,Bidirectional,
PointME78.568f_LR,NK1_U,Faceted,Feather,Dejete L,Crossed L,
PointME78.568g_LR,NK1_U,Faceted,Break,Dejete R,Centripetal,
PointME78.578.2_LR,NK1_U,Faceted,Feather,Dejete R,Centripetal,
PointME78.578.3_LR,NK1_U,Faceted,Feather,Centred,Centripetal,
PointME78.588.6_LR,NK1_U,Faceted,Feather,Dejete R,Bidirectional,
PointME78.588h_LR,NK1_U,Partly removed,Feather,Centred,Bidirectional,
PointME78.588i_LR,NK1_U,Faceted,Feather,Dejete L,Centripetal,
PointME78.589_LR,NK1_M,Faceted,Feather,Centred,Bidirectional,
PointME78.608.23_LR,NK1_U,Faceted,Feather,Centred,Bidirectional,
