File_name,Assemblage,Artefact,Scars
CoreME78.259e_LR,NK1_M,Core_pref,Distal
CoreME78.349_LR,NK1_M,Core_pref,Distal
CoreME78.349b_LR,NK1_M,Core_pref,Distal
CoreME78.359_LR,NK1_M,Core_pref,Lateral-L
CoreME78.359b_LR,NK1_M,Core_pref,Other
CoreME78.359c_LR,NK1_M,Core_pref,Distal
CoreME78.369b_LR,NK1_U,Core_pref,Lateral-L
CoreME78.369c_LR,NK1_U,Core_pref,Distal
CoreME78.389c_LR,NK1_U,Core_pref,Distal
CoreME78.389d_LR,NK1_U,Core_pref,Distal
CoreME78.389e_LR,NK1_U,Core_pref,Distal
CoreME78.488.28_LR,NK1_U,Core_pref,Distal
CoreME78.488.79_LR,NK1_U,Core_pref,Other
CoreME78.508.8_LR,NK1_U,Core_pref,Distal
CoreME78.549_LR,NK1_M,Core_pref,Distal
CoreME78.588.13_LR,NK1_U,Core_pref,Distal
CoreME78.588b_LR,NK1_U,Core_pref,Lateral-L
CoreME78.608.1_LR,NK1_U,Core_pref,Distal
CoreME78.608.4_LR,NK1_U,Core_pref,Distal
CoreME78.608.24_LR,NK1_U,Core_pref,Lateral-L
CoreME78.608.41_LR,NK1_U,Core_pref,Distal
CoreME78.608_LR,NK1_U,Core_pref,Distal
CoreME78.627Aa_LR,NK1_M,Core_pref,Distal
CoreME78.627Ab_LR,NK1_M,Core_pref,Centripetal
CoreME78.627Ad_LR,NK1_M,Core_pref,Lateral-L
CoreME78.627Ae_LR,NK1_M,Core_pref,Lateral-R
CoreME78.627Af_LR,NK1_M,Core_pref,Distal
CoreME78.627Ag_LR,NK1_M,Core_pref,Distal
CoreME78.627Ah_LR,NK1_M,Core_pref,Distal
CoreME78.627Ai_LR,NK1_M,Core_pref,Lateral-R
CoreME78.627Aj_LR,NK1_M,Core_pref,Distal
CoreME78.627Am_LR,NK1_M,Core_pref,Distal
CoreME78.627An_LR,NK1_M,Core_pref,Distal
CoreME78.627Aq_LR,NK1_M,Core_pref,Distal
CoreME78.627As_LR,NK1_M,Core_pref,Distal
CoreME78.627At_LR,NK1_M,Core_pref,Distal
CoreME78.627Au_LR,NK1_M,Core_pref,Distal
CoreME78.627Av_LR,NK1_M,Core_pref,Lateral-R
CoreME78.649b_LR,NK1_U,Core_pref,Distal
CoreME78.718.24_LR,NK1_U,Core_pref,Distal
CoreME78.718.32_LR,NK1_U,Core_pref,Distal
CoreME78.718.68_LR,NK1_U,Core_pref,Lateral-R
CoreME78.718.110_LR,NK1_U,Core_pref,Distal
CoreME78.718.119_LR,NK1_U,Core_pref,Distal
CoreME78.718.130_LR,NK1_U,Core_pref,Distal
CoreME78.718.135_LR,NK1_U,Core_pref,Distal
CoreME78.718.156_LR,NK1_U,Core_pref,Distal
CoreME78.718d_LR,NK1_U,Core_pref,Distal
CoreME78.718f_LR,NK1_U,Core_pref,Distal
CoreME78.718h_LR,NK1_U,Core_pref,Distal
CoreME78.718i_LR,NK1_U,Core_pref,Distal
CoreME78.719_LR,NK1_M,Core_pref,Distal
CoreME78.737.37_LR,NK1_U,Core_pref,Distal
CoreME78.737.57_LR,NK1_U,Core_pref,Centripetal
CoreME78.737.78_LR,NK1_U,Core_pref,Distal
CoreME78.737.81_LR,NK1_U,Core_pref,Distal
CoreME78.737.87_LR,NK1_U,Core_pref,Distal
CoreME78.737b_LR,NK1_U,Core_pref,Distal
CoreME78.747.60_LR,NK1_U,Core_pref,Distal
CoreME78.747.78_LR,NK1_U,Core_pref,Lateral-L
CoreME78.747.90_LR,NK1_U,Core_pref,Distal
CoreME78.759_LR,NK1_M,Core_pref,Distal
CoreME78.767.11_LR,NK1_U,Core_pref,Centripetal
CoreME78.767b_LR,NK1_U,Core_pref,Distal
CoreME78.778b_LR,NK1_U,Core_pref,Distal
CoreME78.778d_LR,NK1_U,Core_pref,Distal
CoreME78.787.37_LR,NK1_U,Core_pref,Distal
CoreME78.787.41_LR,NK1_U,Core_pref,Distal
CoreME78.787.67_LR,NK1_U,Core_pref,Distal
CoreME78.787c_LR,NK1_U,Core_pref,Distal
CoreME78.787e_LR,NK1_U,Core_pref,Distal
CoreME78.788.86_LR,NK1_U,Core_pref,Distal
CoreME78.789.41_LR,NK1_U,Core_pref,Lateral-L
CoreME78.807.10_LR,NK1_U,Core_pref,Distal
CoreME78.807.70_LR,NK1_U,Core_pref,Distal
CoreME78.807.71_LR,NK1_U,Core_pref,Distal
CoreME78.818.27_LR,NK1_U,Core_pref,Distal
CoreME78.824.103_LR,NK1_U,Core_pref,Distal
CoreME78.959_LR,NK1_M,Core_pref,Distal
CoreME78.987b_LR,NK1_U,Core_pref,Distal
CoreME78.987c_LR,NK1_U,Core_pref,Centripetal
CoreME78.987e_LR,NK1_U,Core_pref,Distal
CoreME78.1017.1_LR,NK1_M,Core_pref,Distal
CoreME78.1017.55_LR,NK1_M,Core_pref,Distal
CoreME78.1017c_LR,NK1_M,Core_pref,Lateral-R
CoreME78.1027.77_LR,NK1_M,Core_pref,Distal
CoreME78.1049f_LR,NK1_M,Core_pref,Centripetal
CoreME78.1049i_LR,NK1_M,Core_pref,Distal
CoreME78.1049j_LR,NK1_M,Core_pref,Distal
CoreME78.1049l_LR,NK1_M,Core_pref,Distal
CoreME78.1069.4_LR,NK1_U,Core_pref,Lateral-L
CoreME78.1069.14_LR,NK1_U,Core_pref,Distal
CoreME78.1099k_LR,NK1_M,Core_pref,Distal
CoreME80.4.7_LR,NK3,Core_pref,Distal
CoreME80.4.10_LR,NK3,Core_pref,Distal
CoreME80.4.15b_LR,NK3,Core_pref,Distal
CoreME80.4.15d_LR,NK3,Core_pref,Distal
CoreME80.4.15e_LR,NK3,Core_pref,Distal
CoreME80.4.17e_LR,NK3,Core_pref,Distal
CoreME80.4.17f_LR,NK3,Core_pref,Distal
CoreME80.4.17h_LR,NK3,Core_pref,Lateral-R
CoreME80.4.21_LR,NK3,Core_pref,Distal
CoreME80.4.25_LR,NK3,Core_pref,Lateral-R
CoreME80.4.26_LR,NK3,Core_pref,Distal
CoreME80.4.39_LR,NK3,Core_pref,Centripetal
CoreME80.4.42_LR,NK3,Core_pref,Distal
CoreME80.4.42b_LR,NK3,Core_pref,Distal
CoreME80.4.42d_LR,NK3,Core_pref,Distal
